"Institution (City, State)",Sector,Closure year,"Most recently reported total enrollment figures, covering a 12-month period","Most recently reported percentage of Pell Grant recipient students, covering a 12-month period","Most recently reported percentage of undergraduates receiving Pell grants, covering a 12-month period","Most recently reported total female undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of female students, covering a 12-month period","Most recently reported total minority undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of minroity students, covering a 12-month period","Most recently reported total American Indian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Asian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Black undergraduate enrollment figures, covering a 12-month period","Most recently reported total Hispanic undergraduate enrollment figures, covering a 12-month period","Most recently reported total Native Hawaiian undergraduate enrollment figures, covering a 12-month period","Most recently reported total White undergraduate enrollment figures, covering a 12-month period","Most recently reported total enrollment figures for undergraduates who disclosed two or more races, covering a 12-month period","Most recently reported total enrollment figures for undergraduates whose race/ethnicity was unknown or unreported, covering a 12-month period","Most recently reported total non-resident alien undergraduate enrollment figures, covering a 12-month period",Academic year: enrollment,Academic year: Pell grants
"CET-Rancho Temecula (Temecula, CA)",Private nonprofit,2014,93,36,39%,56,60%,78,84%,0,5,5,68,0,15,0,0,0,2014,2014
"Salter School-New Bedford (New Bedford, MA)",For-profit,2016,93,42,45%,82,88%,29,31%,0,1,6,17,1,54,4,10,0,2016,2016
"Regency Beauty Institute-Madison (Madison, WI)",For-profit,2016,93,66,71%,91,98%,11,12%,0,0,10,1,0,50,0,32,0,2015,2015
"InterCoast Colleges-Burbank (Burbank, CA)",For-profit,2015,93,91,98%,15,16%,66,71%,0,0,11,53,2,27,0,0,0,2014,2014
"Nationwide Beauty Academy (Columbus, OH)",For-profit,2018,92,48,52%,90,98%,19,21%,1,2,10,5,1,71,0,2,0,2017,2017
"Pinnacle Career Institute-Lawrence (Lawrence, KS)",For-profit,2017,92,60,65%,87,95%,28,30%,9,2,6,5,0,64,6,0,0,2017,2017
"Regency Beauty Institute-Mehlville (Mehlville, MO)",For-profit,2016,92,70,76%,91,99%,12,13%,1,0,11,0,0,32,0,48,0,2015,2015
"Sanford-Brown College-St Peters (Saint Peters, MO)",For-profit,2014,91,34,42%,90,99%,16,18%,0,2,13,1,0,46,0,29,0,2014,2014
"Empire Beauty School-Highland (Louisville, KY)",For-profit,2016,91,80,88%,88,97%,67,74%,2,0,62,0,0,18,3,6,0,2015,2015
"Park Avenue School of Cosmetology (Park Rapids, MN)",For-profit,2016,90,52,51%,87,97%,9,10%,4,0,2,2,0,80,1,1,0,2016,2015
"Argosy University-The Art Institute of California-Silicon Valley (Sunnyvale, CA)",For-profit,2017,90,149,66%,38,42%,60,67%,2,19,8,24,2,23,5,6,1,2017,2016
"Pennsylvania Academy of Cosmetology Arts and Sciences-Johnstown (Johnstown, PA)",For-profit,2017,90,86,96%,88,98%,21,23%,2,0,17,2,0,69,0,0,0,2016,2016
"Empire Beauty School-Lisle (Lisle, IL)",For-profit,2016,89,61,69%,86,97%,55,62%,0,3,33,19,0,32,0,2,0,2015,2015
"Destination Academy for Spa and Salon Professionals (Las Vegas, NV)",For-profit,2014,88,7,7%,83,94%,32,36%,0,7,6,19,0,46,0,10,0,2013,2012
"University of Phoenix-Minnesota (Saint Louis Park, MN)",For-profit,2016,88,27,38%,47,53%,23,26%,0,7,7,5,0,38,4,23,4,2016,2016
"Hair Fashions By Kaye Beauty College-Noblesville (Noblesville, IN)",For-profit,2017,88,60,63%,87,99%,11,13%,0,3,6,1,0,76,1,1,0,2017,2016
"Regency Beauty Institute-Evansville (Evansville, IN)",For-profit,2016,88,63,72%,86,98%,15,17%,1,0,14,0,0,35,0,38,0,2015,2015
"American National University-Canton (Canton, OH)",For-profit,2017,88,34,81%,76,86%,22,25%,0,1,20,0,0,41,1,25,0,2016,2016
"Sanford-Brown College-Houston North Loop (Houston, TX)",For-profit,2014,87,29,36%,65,75%,54,62%,0,1,16,37,0,7,0,26,0,2014,2014
"Marinello Schools of Beauty-Provo (Provo, UT)",For-profit,2016,87,56,64%,85,98%,26,30%,2,3,1,15,4,51,1,10,0,2015,2015
"Empire Beauty School-Manitowoc (Manitowoc, WI)",For-profit,2016,87,62,71%,83,95%,20,23%,2,5,5,6,0,63,2,4,0,2015,2015
"Lawrence County Career and Technical Center-Practical Nursing Program (New Castle, PA)",Public,2014,85,60,71%,78,92%,8,9%,0,1,7,0,0,77,0,0,0,2013,2013
"Spartan College of Aeronautics and Technology (Westminster, CO)",For-profit,2017,85,103,58%,3,4%,16,19%,3,1,4,6,0,56,2,13,0,2017,2016
"Preferred College of Nursing-Van Nuys (Van Nuys, CA)",For-profit,2016,85,51,60%,65,76%,48,56%,0,15,2,30,0,3,1,0,34,2015,2015
"Regency Beauty Institute-Springfield (Springfield, MO)",For-profit,2016,85,62,73%,82,96%,5,6%,1,0,2,2,0,39,0,41,0,2015,2015
"International Academy of Design and Technology-Sacramento (Sacramento, CA)",For-profit,2016,85,44,73%,56,66%,28,33%,0,8,12,4,3,19,1,38,0,2015,2015
"Brittany Beauty Academy (Hicksville, NY)",For-profit,2017,85,63,74%,83,98%,43,51%,1,5,11,23,0,40,3,1,1,2017,2017
"Miami-Jacobs Career College-Springboro (Springboro, OH)",For-profit,2017,85,29,85%,79,93%,19,22%,1,0,14,3,0,64,1,2,0,2017,2017
"Metro Business College-Arnold (Arnold, MO)",For-profit,2015,85,45,90%,76,89%,8,9%,0,0,6,2,0,77,0,0,0,2014,2014
"Opportunities Industrialization Center (Fairmont, WV)",Private nonprofit,2018,84,81,96%,75,89%,7,8%,0,0,7,0,0,77,0,0,0,2017,2017
"Bethel Seminary of the East (Landover, MD)",Private nonprofit,2014,84,,NA,33,39%,39,46%,0,2,33,3,0,41,1,4,0,2014,NA
"StenoTech Career Institute-Piscataway (Piscataway, NJ)",For-profit,2015,84,24,29%,76,90%,12,14%,0,0,3,8,0,72,1,0,0,2014,2014
"Arizona Academy of Beauty-North (Tucson, AZ)",For-profit,2016,84,63,75%,81,96%,60,71%,4,4,6,40,0,24,6,0,0,2015,2015
"Shimer College (Chicago, IL)",Private nonprofit,2017,83,33,42%,45,54%,23,28%,0,6,9,7,0,57,1,3,0,2016,2016
"Regency Beauty Institute-Ridgedale (Minnetonka, MN)",For-profit,2015,83,52,63%,81,98%,19,23%,1,0,15,3,0,54,0,10,0,2014,2014
"Empire Beauty School-Arvada (Arvada, CO)",For-profit,2014,83,66,80%,74,89%,45,54%,3,1,0,41,0,35,0,3,0,2014,2014
"Regency Beauty Institute-Charlotte (Charlotte, NC)",For-profit,2016,83,66,80%,78,94%,29,35%,1,0,28,0,0,6,0,48,0,2015,2015
"Vatterott College-St Joseph (Saint Joseph, MO)",For-profit,2017,83,58,88%,54,65%,8,10%,2,0,4,0,0,71,2,4,0,2017,2017
"Arlington Medical Institute (Arlington, TX)",For-profit,2017,83,80,96%,75,90%,56,67%,0,2,19,35,0,24,0,3,0,2016,2016
"InterCoast Career Institute-South Portland (Granada Hills, CA)",For-profit,2016,82,117,40%,68,83%,34,41%,0,5,27,2,0,48,0,0,0,2016,2015
"University of Phoenix-Oklahoma (Tulsa, OK)",For-profit,2017,82,32,50%,58,71%,43,52%,1,2,33,6,0,22,1,17,0,2017,2017
"Hallmark Institute of Photography (Turners Falls, MA)",For-profit,2016,82,43,52%,59,72%,13,16%,5,4,4,0,0,68,0,1,0,2016,2016
"Sanford-Brown College-Boston (Boston, MA)",For-profit,2014,82,40,56%,71,87%,38,46%,0,1,27,9,0,7,1,37,0,2014,2014
"ITT Technical Institute-Bradenton (Bradenton, FL)",For-profit,2015,82,48,73%,18,22%,25,30%,0,0,15,10,0,55,0,2,0,2014,2014
"In Session Arts of Cosmetology Beauty School (Saginaw, MI)",For-profit,2017,82,74,90%,81,99%,0,0%,0,0,0,0,0,82,0,0,0,2016,2016
"Calvary Baptist Theological Seminary (Lansdale, PA)",Private nonprofit,2014,81,,NA,4,5%,2,2%,0,0,2,0,0,79,0,0,0,2013,NA
"Xtreme Career Institute (Aguadilla, PR)",For-profit,2017,81,113,100%,60,74%,81,100%,0,0,0,81,0,0,0,0,0,2017,2016
"Body Therapy Institute (Siler City, NC)",For-profit,2016,80,31,33%,64,80%,20,25%,2,1,6,6,0,60,5,0,0,2016,2015
"Daymar College-Paducah Main (Paducah, KY)",For-profit,2015,80,36,86%,63,79%,22,28%,0,0,16,0,0,58,6,0,0,2015,2015
"Springfield College of Beauty (Springfield, OR)",For-profit,2018,80,89,92%,77,96%,14,18%,1,1,1,5,0,65,6,0,1,2017,2016
"Regency Beauty Institute-Olathe (Olathe, KS)",For-profit,2016,79,60,76%,76,96%,12,15%,0,2,6,4,0,20,0,47,0,2015,2015
"Regency Beauty Institute-Hoover (Hoover, AL)",For-profit,2015,79,69,87%,78,99%,28,35%,0,1,26,1,0,17,0,34,0,2014,2014
"Mercy School of Nursing (Charlotte, NC)",Public,2016,78,8,16%,67,86%,16,21%,0,2,8,1,0,62,5,0,0,2016,2016
"Empire Beauty School-Appleton (Appleton, WI)",For-profit,2014,78,49,63%,77,99%,22,28%,2,6,6,5,0,50,3,6,0,2014,2014
"Regency Beauty Institute-Toledo (Holland, OH)",For-profit,2016,78,65,83%,75,96%,27,35%,1,0,24,2,0,12,0,39,0,2015,2015
"Summit Salon Academy-Cincinnati (Cincinnati, OH)",For-profit,2016,77,66,64%,72,94%,43,56%,0,2,40,0,0,33,1,1,0,2016,2015
"Tulsa Welding School-Tulsa (Tulsa, OK)",For-profit,2016,77,52,68%,2,3%,25,32%,11,0,6,7,0,18,1,34,0,2016,2016
"University of Phoenix-Omaha Campus (Omaha, NE)",For-profit,2014,77,36,71%,37,48%,20,26%,0,0,9,7,0,35,4,20,2,2013,2013
"Regency Beauty Institute-Tolleson (Phoenix, AZ)",For-profit,2016,77,68,88%,76,99%,16,21%,0,0,5,11,0,11,0,50,0,2015,2015
"Illinois CareerPath Institute (Chicago, IL)",Private nonprofit,2014,76,51,67%,56,74%,74,97%,0,1,71,2,0,2,0,0,0,2013,2013
"La Baron Hairdressing Academy-Overland Park (Overland Park, KS)",For-profit,2016,76,27,31%,72,95%,49,64%,0,23,12,14,0,27,0,0,0,2016,2015
"Ridley-Lowell Business & Technical Institute-Binghamton (Binghamton, NY)",For-profit,2017,76,92,56%,74,97%,28,37%,1,1,14,8,0,48,4,0,0,2017,2016
"South University-The Art Institute of Fort Worth (Fort Worth, TX)",For-profit,2016,76,114,63%,29,38%,38,50%,0,0,8,27,1,37,2,1,0,2017,2016
"Fortis College-Largo (Largo, FL)",For-profit,2016,76,48,66%,59,78%,26,34%,0,0,18,7,1,41,0,9,0,2016,2016
"Regency Beauty Institute-Mesa (Mesa, AZ)",For-profit,2016,76,55,72%,71,93%,15,20%,1,0,5,9,0,10,0,51,0,2015,2015
"InterCoast Career Institute-Salem (Salem, NH)",For-profit,2015,76,71,93%,40,53%,27,36%,1,2,7,17,0,48,0,1,0,2014,2014
"Columbia Academy of Cosmetology (West Columbia, SC)",For-profit,2018,75,43,57%,73,97%,70,93%,1,0,68,0,0,4,1,1,0,2017,2017
"Regency Beauty Institute-Darien (Darien, IL)",For-profit,2016,75,48,64%,71,95%,15,20%,0,0,12,3,0,21,0,39,0,2015,2015
"Springfield Beauty Academy (Annandale, VA)",For-profit,2016,75,54,72%,73,97%,41,55%,0,18,17,6,0,34,0,0,0,2015,2015
"Connecticut Institute of Hair Design (Wolcott, CT)",For-profit,2016,75,55,73%,42,56%,43,57%,0,0,12,29,0,31,2,1,0,2015,2015
"Regency Beauty Institute-Lansing (Lansing, MI)",For-profit,2016,75,57,76%,73,97%,15,20%,0,1,11,3,0,30,0,30,0,2015,2015
"Regency Beauty Institute-Duluth (Duluth, MN)",For-profit,2016,75,59,79%,69,92%,11,15%,6,1,4,0,0,44,0,20,0,2015,2015
"Regency Beauty Institute-Jacksonville Orange Park (Orange Park, FL)",For-profit,2016,75,61,81%,69,92%,6,8%,0,0,4,2,0,10,0,59,0,2015,2015
"Lacy Cosmetology School-Goose Creek (Goose Creek, SC)",For-profit,2014,74,49,66%,73,99%,30,41%,0,2,24,4,0,44,0,0,0,2013,2013
"Sanford-Brown College-Farmington (Farmington, CT)",For-profit,2014,74,46,74%,67,91%,18,24%,0,0,8,10,0,10,0,46,0,2014,2014
"Fortis Institute (Palm Springs, FL)",For-profit,2016,74,46,79%,43,58%,52,70%,0,0,26,23,0,17,3,5,0,2016,2016
"MediaTech Institute-Oceanside (Oceanside, CA)",For-profit,2016,74,65,88%,12,16%,49,66%,1,0,21,16,1,25,10,0,0,2016,2016
"De Wolff College Hair Styling and Cosmetology (Albuquerque, NM)",For-profit,2018,73,50,68%,65,89%,56,77%,3,2,5,45,0,17,1,0,0,2017,2017
"ITT Technical Institute-Deerfield Beach (Fort Lauderdale, FL)",For-profit,2015,73,52,72%,27,37%,52,71%,1,3,29,19,0,17,0,4,0,2014,2014
"University of Phoenix-Massachusetts (Braintree, MA)",For-profit,2018,72,13,24%,22,31%,25,35%,1,2,13,5,0,28,4,18,1,2017,2017
"Fairview Beauty Academy (Fairview Park, OH)",For-profit,2018,72,23,32%,64,89%,49,68%,0,22,16,11,0,23,0,0,0,2017,2017
"Sanford-Brown College-Grand Rapids (Grand Rapids, MI)",For-profit,2014,72,25,44%,68,94%,5,7%,0,0,2,3,0,8,0,59,0,2014,2014
"Wards Corner Beauty Academy-Virginia Beach (Virginia Beach, VA)",For-profit,2014,72,47,65%,68,94%,64,89%,0,2,61,0,0,8,1,0,0,2014,2014
"Elite Academy of Beauty Arts (Brooklyn, NY)",For-profit,2015,72,101,72%,69,96%,22,31%,0,8,3,11,0,50,0,0,0,2014,2013
"Gill-Tech Academy of Hair Design (Appleton, WI)",For-profit,2017,71,17,17%,66,93%,23,32%,1,8,3,10,0,47,1,1,0,2017,2016
"Heads West Kentucky Beauty College (Henderson, KY)",For-profit,2016,71,59,83%,69,97%,30,42%,0,0,30,0,0,41,0,0,0,2015,2015
"National Personal Training Institute of Massachusetts (Waltham, MA)",For-profit,2017,70,6,9%,28,40%,16,23%,1,0,6,9,0,48,0,4,2,2016,2016
"Central State Massage Academy (Oklahoma City, OK)",For-profit,2016,70,35,50%,61,87%,27,39%,5,2,9,5,0,43,6,0,0,2015,2015
"Madera Beauty College (Madera, CA)",For-profit,2015,70,38,54%,67,96%,59,84%,2,1,2,54,0,11,0,0,0,2014,2014
"Headquarters Academy of Hair Design Inc (Minot, ND)",For-profit,2018,70,38,54%,64,91%,19,27%,2,1,10,6,0,51,0,0,0,2017,2017
"Regency Beauty Institute-Plano (Plano, TX)",For-profit,2016,70,43,61%,66,94%,8,11%,0,0,5,3,0,11,0,51,0,2015,2015
"Empire Beauty School-North Tucson (Tucson, AZ)",For-profit,2014,70,45,64%,65,93%,51,73%,3,1,2,40,0,18,5,1,0,2013,2013
"Professional Massage Training Center (Springfield, MO)",For-profit,2015,70,50,71%,56,80%,5,7%,0,0,2,2,0,65,1,0,0,2014,2014
"Regency Beauty Institute-Topeka (Topeka, KS)",For-profit,2016,70,55,79%,68,97%,8,11%,1,0,4,3,0,23,0,39,0,2015,2015
"CollegeAmerica-Cheyenne (Cheyenne, WY)",Private nonprofit,2017,69,29,64%,45,65%,18,26%,1,0,1,3,1,49,12,2,0,2017,2017
"Sanford-Brown College-San Antonio (San Antonio, TX)",For-profit,2018,69,21,42%,36,52%,44,64%,0,0,5,37,1,11,1,14,0,2017,2017
"Colorado Technical University-Kansas City (North Kansas City, MO)",For-profit,2014,69,26,58%,43,62%,17,25%,1,0,13,1,0,22,2,30,0,2014,2014
"Beauty College of America (Forest Park, GA)",For-profit,2016,69,41,59%,59,86%,68,99%,0,8,56,2,0,1,2,0,0,2015,2015
"American Commercial College-Odessa (Odessa, TX)",For-profit,2014,69,44,64%,69,100%,55,80%,0,0,3,52,0,14,0,0,0,2013,2013
"Daymar College-Scottsville (Scottsville, KY)",For-profit,2014,69,32,67%,60,87%,5,7%,0,0,1,2,0,64,2,0,0,2014,2014
"Regina's College of Beauty-High Point (High Point, NC)",For-profit,2016,69,69,100%,65,94%,69,100%,0,0,69,0,0,0,0,0,0,2015,2015
"Regency Beauty Institute-Fayetteville (Fayetteville, AR)",For-profit,2016,68,46,68%,67,99%,13,19%,1,1,6,5,0,28,0,27,0,2015,2015
"International Academy of Design and Technology-Troy (Troy, MI)",For-profit,2016,68,96,72%,41,60%,10,15%,0,0,6,1,0,7,3,51,0,2016,2015
"Gallipolis Career College (Gallipolis, OH)",For-profit,2017,68,83,99%,55,81%,0,0%,0,0,0,0,0,68,0,0,0,2017,2016
"Northwest Institute of Literary Arts (Langley, WA)",Private nonprofit,2016,67,,NA,55,82%,4,6%,0,0,0,0,0,49,4,9,5,2015,NA
"Scholars Cosmetology University (Ann Arbor, MI)",For-profit,2014,67,28,47%,57,85%,50,75%,0,2,39,9,0,17,0,0,0,2014,2013
"Southeast School of Cosmetology (Manchester, KY)",For-profit,2015,67,49,69%,60,90%,1,1%,0,0,0,1,0,66,0,0,0,2015,2014
"Mr Bela's School of Cosmetology Inc (Warren, MI)",For-profit,2018,67,67,100%,60,90%,32,48%,0,12,20,0,0,35,0,0,0,2017,2017
"Lexington College (Chicago, IL)",Private nonprofit,2014,66,37,82%,66,100%,38,58%,0,3,17,18,0,26,0,0,2,2013,2013
"Knoxville Institute of Hair Design (Knoxville, TN)",For-profit,2016,66,26,39%,24,36%,25,38%,0,0,24,1,0,39,0,2,0,2015,2015
"Miami-Jacobs Career College-Sharonville (Sharonville, OH)",For-profit,2016,66,30,77%,52,79%,31,47%,0,0,30,1,0,31,0,4,0,2016,2016
"Regency Beauty Institute-Tri-County (Springdale, OH)",For-profit,2016,66,62,94%,63,95%,22,33%,0,0,22,0,0,8,0,36,0,2015,2015
"Empire Beauty School-Eden Prairie (Eden Prairie, MN)",For-profit,2016,65,30,46%,64,98%,16,25%,0,1,11,2,0,42,2,7,0,2015,2015
"Paul Mitchell the School-Escanaba (Escanaba, MI)",For-profit,2017,65,42,65%,60,92%,1,2%,0,0,0,0,0,63,1,1,0,2016,2016
"ITT Technical Institute-Grand Rapids (Wyoming, MI)",For-profit,2014,65,36,71%,9,14%,14,22%,1,2,8,3,0,50,0,1,0,2014,2014
"Regency Beauty Institute-Chattanooga (Chattanooga, TN)",For-profit,2016,65,46,71%,60,92%,18,28%,0,0,18,0,0,11,0,36,0,2015,2015
"MarJon School of Beauty ltd-Tonawanda (Tonawanda, NY)",For-profit,2016,65,50,78%,60,92%,35,54%,0,1,29,5,0,23,0,7,0,2015,2014
"University of Phoenix-Indiana (Indianapolis, IN)",For-profit,2017,64,32,60%,43,67%,31,48%,0,0,26,3,0,16,2,17,0,2017,2017
"Volunteer Beauty Academy-Madison (Madison, TN)",For-profit,2017,64,42,66%,62,97%,45,70%,0,8,31,6,0,19,0,0,0,2016,2016
"Wright Beauty Academy (Portage, MI)",For-profit,2016,64,90,75%,63,98%,10,16%,0,0,6,2,0,54,2,0,0,2015,2014
"Regency Beauty Institute-Columbia (Columbia, SC)",For-profit,2016,64,54,84%,62,97%,17,27%,0,0,16,1,0,15,0,32,0,2015,2015
"Carlos F Daniels Area Vocational School (Carolina, PR)",Public,2014,63,6,100%,53,84%,63,100%,0,0,0,63,0,0,0,0,0,2013,2013
"Empire Beauty School-Paradise Valley (Phoenix, AZ)",For-profit,2015,63,40,63%,54,86%,20,32%,2,0,7,8,2,42,1,1,0,2014,2014
"Sherman Kendall Academy-Salt Lake City (Salt Lake City, UT)",For-profit,2018,63,40,63%,60,95%,28,44%,0,3,2,23,0,34,0,1,0,2017,2017
"Volunteer Beauty Academy-Dyersburg (Dyersburg, TN)",For-profit,2017,63,46,73%,62,98%,12,19%,0,0,10,1,0,49,1,1,1,2016,2016
"Cannella School of Hair Design-Chicago (Chicago, IL)",For-profit,2016,63,51,81%,59,94%,62,98%,0,0,19,42,0,0,1,1,0,2015,2015
"Regency Beauty Institute-Knoxville (Knoxville, TN)",For-profit,2016,63,53,84%,59,94%,2,3%,0,0,2,0,0,30,0,31,0,2015,2015
"Northeastern Hospital School of Nursing (Philadelphia, PA)",Private nonprofit,2016,62,44,63%,53,85%,31,50%,0,5,21,5,0,31,0,0,0,2015,2015
"Academy of Aesthetic Arts (Shawnee, KS)",For-profit,2014,62,4,6%,61,98%,14,23%,1,1,6,3,0,48,3,0,0,2013,2013
"Avance Beauty College (San Diego, CA)",For-profit,2017,62,39,63%,62,100%,61,98%,0,0,0,61,0,0,0,1,0,2016,2016
"Sanford-Brown College-Las Vegas (Henderson, NV)",For-profit,2017,62,81,64%,14,23%,31,50%,1,3,17,6,2,11,2,20,0,2017,2016
"North West Beauty School (Houston, TX)",For-profit,2016,62,45,73%,57,92%,56,90%,0,0,51,5,0,6,0,0,0,2015,2015
"Regency Beauty Institute-Avon (Indianapolis, IN)",For-profit,2016,62,55,89%,59,95%,17,27%,1,0,15,1,0,18,0,27,0,2015,2015
"Sanford-Brown College-Tinley Park (Tinley Park, IL)",For-profit,2014,61,7,16%,60,98%,38,62%,1,1,34,2,0,15,0,8,0,2014,2014
"Simmons Institute of Funeral Service Inc (Syracuse, NY)",For-profit,2014,61,16,26%,26,43%,7,11%,0,0,7,0,0,54,0,0,0,2013,2013
"Sanford-Brown College-Portland (Portland, OR)",For-profit,2014,61,20,40%,50,82%,2,3%,0,0,0,1,0,15,1,44,0,2014,2014
"ITT Technical Institute-Germantown (Greenfield, WI)",For-profit,2014,61,29,58%,11,18%,20,33%,0,4,13,1,0,40,2,1,0,2014,2014
"Pennsylvania Academy of Cosmetology Arts and Sciences-Du Bois (Du Bois, PA)",For-profit,2017,61,45,78%,57,93%,3,5%,0,0,1,2,0,58,0,0,0,2016,2016
"American National University-Willoughby Hills (Willoughby Hills, OH)",For-profit,2016,61,37,90%,51,84%,48,79%,0,0,46,0,0,7,2,6,0,2016,2016
"Southeastern School of Cosmetology (Birmingham, AL)",Private nonprofit,2017,60,61,100%,60,100%,60,100%,0,1,59,0,0,0,0,0,0,2017,2016
"The Art Institute of Washington-Dulles (Sterling, VA)",For-profit,2017,60,51,44%,28,47%,34,57%,1,8,16,8,1,23,0,1,2,2017,2016
"University of Phoenix-Wisconsin (Milwaukee, WI)",For-profit,2017,60,26,45%,41,68%,22,37%,0,2,18,1,0,29,1,9,0,2017,2017
"Josef's School of Hair Design Inc-Fargo Downtown (Fargo, ND)",For-profit,2018,60,31,52%,59,98%,3,5%,1,0,2,0,0,55,0,2,0,2017,2017
"Regency Beauty Institute-Spartanburg (Spartanburg, SC)",For-profit,2016,60,48,80%,58,97%,24,40%,0,3,20,1,0,15,0,21,0,2015,2015
"Regency Beauty Institute-Metro Center (Phoenix, AZ)",For-profit,2015,60,49,82%,56,93%,14,23%,0,0,7,7,0,9,0,37,0,2014,2014
"Daymar College-Chillicothe (Chillicothe, OH)",For-profit,2016,60,36,84%,15,25%,4,7%,0,0,2,1,0,56,1,0,0,2015,2015
"Empire Beauty School-Williamsport (Williamsport, PA)",For-profit,2016,59,30,51%,58,98%,7,12%,0,0,7,0,0,44,0,8,0,2015,2015
"Beauty Academy (Wenatchee, WA)",For-profit,2018,59,38,64%,55,93%,22,37%,1,0,0,21,0,37,0,0,0,2017,2017
"Tulare Beauty College (Tulare, CA)",For-profit,2015,59,40,68%,57,97%,46,78%,1,0,2,43,0,13,0,0,0,2014,2014
"International Academy of Design and Technology-Nashville (Nashville, TN)",For-profit,2015,59,88,75%,29,49%,27,46%,0,3,20,4,0,28,0,4,0,2015,2014
"La Baron Hairdressing Academy-New Bedford (New Bedford, MA)",For-profit,2016,59,48,81%,59,100%,10,17%,0,0,5,5,0,49,0,0,0,2015,2015
"A & W Healthcare Educators (New Orleans, LA)",For-profit,2016,59,55,93%,56,95%,58,98%,0,0,57,1,0,1,0,0,0,2015,2015
"Starting Points Inc (Jersey City, NJ)",Private nonprofit,2018,58,23,85%,58,100%,45,78%,0,4,16,25,0,13,0,0,0,2017,2017
"Tri-State Institute of Hair Design (London, KY)",For-profit,2018,58,28,48%,29,50%,2,3%,0,0,1,1,0,56,0,0,0,2017,2017
"Hair Academy of Safford (Safford, AZ)",For-profit,2018,58,29,50%,54,93%,20,34%,0,0,2,18,0,36,0,2,0,2017,2017
"Carousel of Miami Valley Beauty College (Huber Heights, OH)",For-profit,2016,58,37,64%,58,100%,19,33%,0,1,17,0,0,39,1,0,0,2015,2015
"ITT Technical Institute-Southfield (Troy, MI)",For-profit,2015,58,25,69%,15,26%,50,86%,1,0,47,0,0,5,2,3,0,2015,2015
"Ashdown College of Health Sciences (Redlands, CA)",For-profit,2015,58,25,83%,43,74%,29,50%,3,3,4,16,0,29,3,0,0,2015,2014
"Arkansas Beauty School (Conway, AR)",For-profit,2015,58,54,93%,54,93%,27,47%,0,0,26,1,0,31,0,0,0,2014,2014
"Cooper Health System Center for Allied Health Education (Camden, NJ)",Private nonprofit,2016,57,17,43%,37,65%,9,16%,0,2,5,2,0,48,0,0,0,2015,2015
"Episcopal Divinity School (Cambridge, MA)",Private nonprofit,2017,57,,NA,35,61%,9,16%,0,0,4,5,0,42,0,0,6,2016,NA
"Academy of Hair Design-Salem (Salem, OR)",For-profit,2017,57,49,86%,35,61%,17,30%,0,0,7,10,0,40,0,0,0,2016,2016
"Harrington College of Design (Chicago, IL)",For-profit,2018,56,3,43%,45,80%,14,25%,0,2,9,1,0,18,2,24,0,2017,2017
"Modern Beauty School Inc (Missoula, MT)",For-profit,2016,56,33,45%,50,89%,8,14%,4,0,1,1,0,46,2,2,0,2016,2015
"University of Phoenix-Mississippi (Flowood, MS)",For-profit,2017,56,36,73%,44,79%,40,71%,0,1,37,1,0,2,1,14,0,2015,2015
"Regency Beauty Institute-Gaithersburg (Gaithersburg, MD)",For-profit,2016,56,44,77%,52,93%,46,82%,0,0,22,14,0,10,10,0,0,2015,2014
"The Hair Academy Inc (Dublin, GA)",For-profit,2014,56,45,80%,52,93%,50,89%,0,0,50,0,0,6,0,0,0,2014,2014
"Regency Beauty Institute-Jacksonville Regency (Jacksonville, FL)",For-profit,2016,56,49,88%,49,88%,10,18%,0,0,8,2,0,3,0,43,0,2015,2015
"CET-Durham (Durham, NC)",Private nonprofit,2017,55,24,44%,38,69%,54,98%,1,0,49,4,0,1,0,0,0,2017,2017
"American National College (South Houston, TX)",For-profit,2015,55,25,45%,48,87%,10,18%,0,0,5,0,0,44,5,1,0,2014,2014
"Volunteer Beauty Academy-Nashville (Nashville, TN)",For-profit,2017,55,34,62%,53,96%,38,69%,0,3,33,2,0,16,0,1,0,2016,2016
"World A Cuts Barber Institute (York, PA)",For-profit,2014,55,17,81%,20,36%,45,82%,0,0,23,18,0,10,4,0,0,2014,2013
"The Center for Cosmetology Education (Memphis, TN)",For-profit,2016,54,35,65%,35,65%,53,98%,0,0,51,2,0,1,0,0,0,2015,2015
"Oceanside College of Beauty (Oceanside, CA)",For-profit,2018,54,37,69%,50,93%,29,54%,0,0,3,24,2,25,0,0,0,2017,2017
"Regency Beauty Institute-Fort Myers (Fort Myers, FL)",For-profit,2016,54,40,74%,49,91%,7,13%,0,0,4,3,0,17,0,30,0,2015,2015
"Sanford-Brown College-Hillside (Hillside, IL)",For-profit,2014,53,5,12%,51,96%,3,6%,0,0,1,2,0,3,0,47,0,2014,2014
"Blue Water College of Cosmetology Inc (Marysville, MI)",For-profit,2016,53,24,45%,50,94%,21,40%,0,0,17,0,1,32,3,0,0,2015,2015
"Regina's College of Beauty-Monroe (Monroe, NC)",For-profit,2016,53,36,68%,47,89%,49,92%,0,0,49,0,0,4,0,0,0,2015,2015
"Regency Beauty Institute-Nashville (Antioch, TN)",For-profit,2016,53,41,77%,50,94%,18,34%,1,1,15,1,0,3,0,32,0,2015,2015
